date,ga_session_id,continent,country,device,browser,mobile_model_name,operating_system,language,traffic_source,traffic_channel,account_id,is_verified,is_unsubscribed,category,name,price,short_description
2020-11-29,5630985332,Americas,United States,mobile,Safari,iPhone,iOS,en-us,<Other>,Paid Search,,,,,,,
2021-01-01,3964021716,Asia,Israel,mobile,Chrome,<Other>,Web,,(organic),Paid Search,,,,,,,
2021-01-08,348377349,Americas,United States,mobile,Safari,iPhone,iOS,,(referral),Social Search,,,,,,,
2020-12-08,9737746691,Americas,United States,mobile,Chrome,<Other>,Android,en-gb,(referral),Social Search,,,,,,,
2021-01-20,2989363577,Asia,South Korea,desktop,Chrome,Chrome,Web,,(referral),Paid Search,,,,,,,
2020-12-14,2425706667,Europe,Poland,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,Bar furniture,JANINGE,595.0,"Bar stool, 76 cm"
2020-12-01,5555179327,Americas,United States,mobile,Safari,iPhone,Web,es-es,<Other>,Paid Search,,,,,,,
2021-01-27,8618321890,Americas,United States,desktop,Chrome,Chrome,Web,en-us,<Other>,Organic Search,,,,,,,
2021-01-14,7934114574,Europe,United Kingdom,desktop,Chrome,Safari,Macintosh,en,(direct),Direct,,,,,,,
2021-01-08,4341828774,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(referral),Paid Search,664125,1,0,,,,
2020-12-09,7310758268,Americas,United States,desktop,Chrome,Safari,Web,,(organic),Organic Search,,,,,,,
2020-12-26,4495222208,Americas,Brazil,desktop,Edge,Edge,Web,,(direct),Direct,,,,,,,
2021-01-20,1407653714,Americas,United States,desktop,Safari,Safari,Web,,(organic),Organic Search,677620,1,1,,,,
2020-11-19,4939761542,Americas,Canada,desktop,Chrome,Chrome,Web,en-gb,(organic),Organic Search,,,,,,,
2020-11-13,8882276398,Asia,India,desktop,Chrome,Safari,Macintosh,,(direct),Direct,,,,,,,
2021-01-22,1979822583,Asia,India,desktop,Chrome,Chrome,Windows,,(data deleted),Undefined,,,,,,,
2020-12-08,2813802888,Americas,United States,mobile,Chrome,<Other>,Android,en-us,<Other>,Organic Search,,,,,,,
2020-11-17,7940149868,Africa,Nigeria,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2020-11-26,7919531788,Americas,Canada,desktop,Chrome,Chrome,Web,en,(direct),Direct,644603,1,1,,,,
2021-01-24,8201292864,Americas,United States,mobile,Safari,iPhone,Web,en-us,(data deleted),Undefined,,,,,,,
2020-12-10,6741292060,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(data deleted),Undefined,,,,,,,
2021-01-01,5484009397,Americas,United States,mobile,Safari,iPhone,Web,,(direct),Direct,,,,,,,
2020-11-28,7876811231,Americas,United States,desktop,Chrome,<Other>,Windows,,(organic),Organic Search,,,,,,,
2020-11-17,9381326183,Americas,United States,desktop,Chrome,Chrome,Windows,en-us,(organic),Organic Search,,,,,,,
2020-12-14,8143753297,Europe,Spain,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2020-12-10,4357370815,Asia,India,desktop,Firefox,Firefox,Windows,,(organic),Organic Search,,,,,,,
2021-01-15,4924856274,Americas,Canada,desktop,Safari,Safari,Web,,(organic),Organic Search,,,,,,,
2020-11-04,4224572784,Americas,United States,mobile,Safari,iPhone,Web,en-us,<Other>,Paid Search,,,,,,,
2021-01-17,3296016516,Americas,United States,desktop,Chrome,Chrome,Web,fr,(direct),Direct,,,,,,,
2020-11-04,7757586582,Europe,Germany,mobile,Chrome,<Other>,Web,,(direct),Direct,,,,,,,
2021-01-26,1342470622,Europe,Luxembourg,mobile,Chrome,<Other>,Android,,(direct),Direct,,,,,,,
2020-12-27,6984701263,Americas,United States,desktop,Chrome,ChromeBook,<Other>,en-us,(direct),Direct,,,,Nursery furniture,STUVA / FRITIDS,675.0,"Wardrobe, 60x50x192 cm"
2021-01-26,5956364758,Asia,Taiwan,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2020-11-18,6745434263,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(organic),Organic Search,,,,Chairs,MELLTORP / NISSE,297.0,"Table and 2 folding chairs, 75 cm"
2020-11-09,3227152417,Asia,India,desktop,Chrome,Chrome,Web,,(referral),Paid Search,,,,Cabinets & cupboards,ROTHULT,95.0,Smart lock
2020-11-06,1137327534,Americas,Canada,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-19,7157510200,Americas,Canada,mobile,Chrome,<Other>,Android,es-es,(organic),Organic Search,,,,,,,
2020-11-21,7400393734,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(referral),Paid Search,641216,1,0,,,,
2020-11-09,3497147391,Americas,Brazil,mobile,Safari,iPhone,iOS,en-us,(direct),Direct,,,,,,,
2020-12-07,8191540792,Americas,United States,mobile,Chrome,<Other>,Web,,(direct),Direct,646944,1,0,,,,
2021-01-28,856992685,Europe,Germany,desktop,Chrome,Chrome,Web,en-us,(referral),Social Search,,,,,,,
2020-11-11,9908364029,Americas,United States,desktop,Safari,Safari,Web,,(direct),Direct,,,,,,,
2020-12-24,7248933156,Asia,Singapore,desktop,Chrome,ChromeBook,<Other>,zh,(direct),Direct,,,,Bookcases & shelving units,BILLY,305.0,"Bookcase, 40x28x237 cm"
2020-12-18,9367154168,Americas,United States,mobile,Safari,iPhone,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-07,1991446885,Americas,United States,mobile,Chrome,<Other>,Web,en-us,(direct),Direct,,,,,,,
2020-12-29,8699596169,Americas,United States,desktop,Chrome,Safari,Macintosh,en-us,<Other>,Paid Search,,,,,,,
2021-01-25,4272635098,Americas,United States,desktop,Chrome,Safari,Web,,(organic),Organic Search,,,,,,,
2021-01-22,7494571764,Americas,United States,mobile,Chrome,<Other>,Android,,(organic),Organic Search,,,,,,,
2020-11-13,147763806,Americas,United States,desktop,Safari,Safari,Web,en-ca,<Other>,Paid Search,,,,Sofas & armchairs,DELAKTIG,3100.0,2-seat sofa with side table
2020-12-21,5174165410,Americas,United States,mobile,Chrome,<Other>,Android,,(referral),Paid Search,,,,,,,
2020-12-03,6883596095,Americas,United States,desktop,Chrome,ChromeBook,<Other>,en,(organic),Organic Search,,,,,,,
2020-12-15,7493461445,Asia,India,mobile,Chrome,<Other>,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-15,8344205482,Asia,India,mobile,Safari,iPhone,iOS,en-us,(direct),Direct,,,,,,,
2021-01-09,5417226141,Europe,Italy,desktop,Chrome,Chrome,Windows,en-us,(referral),Paid Search,,,,,,,
2021-01-03,826051041,Americas,United States,tablet,Android Webview,<Other>,Web,en-ca,(direct),Direct,,,,,,,
2020-12-03,5788713627,Asia,South Korea,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-21,2668232384,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(direct),Direct,,,,,,,
2020-12-29,7972664910,Asia,Malaysia,mobile,Safari,iPhone,iOS,,<Other>,Paid Search,672585,1,0,,,,
2020-11-17,1256262720,Americas,United States,desktop,Chrome,Safari,Macintosh,en-gb,(data deleted),Undefined,,,,,,,
2020-11-12,1074244196,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(referral),Paid Search,,,,,,,
2020-12-31,7741428027,Europe,Poland,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2021-01-01,9470946390,Asia,India,mobile,Safari,iPhone,Web,,(direct),Direct,,,,,,,
2021-01-24,3861077951,Americas,United States,mobile,Chrome,<Other>,Web,es-es,<Other>,Paid Search,,,,Beds,NYHAMN,1520.0,Sofa-bed with triple cushion
2020-12-02,455691025,Americas,United States,desktop,Chrome,ChromeBook,<Other>,,(referral),Social Search,,,,,,,
2021-01-11,397626983,Europe,United Kingdom,mobile,<Other>,<Other>,Android,en-us,(organic),Organic Search,,,,,,,
2020-12-01,2980667644,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(referral),Social Search,,,,,,,
2020-12-17,1702397781,Asia,India,desktop,Chrome,Chrome,Web,en-us,<Other>,Organic Search,,,,,,,
2021-01-22,2708639942,Americas,United States,desktop,Chrome,Chrome,Web,,<Other>,Paid Search,,,,,,,
2020-12-30,2269846787,Americas,Mexico,mobile,Chrome,<Other>,Android,,(referral),Paid Search,,,,,,,
2020-11-13,5721980582,Americas,United States,mobile,Chrome,<Other>,Web,en-us,(referral),Paid Search,,,,,,,
2020-12-09,8570220992,Americas,Canada,mobile,Safari,iPhone,iOS,en-us,<Other>,Paid Search,,,,,,,
2020-11-14,6809849612,Asia,India,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-10,1000886770,Americas,United States,mobile,<Other>,<Other>,Android,en-us,(organic),Organic Search,653513,1,1,,,,
2020-11-13,5960781046,Asia,India,mobile,Safari,iPhone,Web,,<Other>,Paid Search,,,,,,,
2021-01-08,2420993715,Europe,United Kingdom,mobile,Safari,iPhone,iOS,en-us,(direct),Direct,,,,Chairs,NORDEN / RÅSKOG,1067.0,"Table and 2 stools, 89/152 cm"
2021-01-21,5260380396,Americas,United States,desktop,Chrome,Chrome,Windows,en,(organic),Organic Search,,,,,,,
2020-11-15,9824491916,Americas,United States,mobile,Chrome,<Other>,Web,en-us,<Other>,Paid Search,,,,,,,
2020-11-18,3344216526,Africa,(not set),desktop,Chrome,Chrome,Web,en,(direct),Direct,,,,,,,
2020-12-11,6697481390,Europe,Netherlands,desktop,Chrome,Safari,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-30,6953006822,Europe,Belgium,desktop,Chrome,Safari,Web,,<Other>,Paid Search,,,,,,,
2020-12-10,4573608797,Americas,United States,desktop,Chrome,Chrome,Windows,en,(organic),Organic Search,,,,,,,
2020-11-26,3218452268,Americas,Ecuador,desktop,Chrome,Chrome,Web,en,(direct),Direct,,,,Chests of drawers & drawer units,ASKVOLL,345.0,"Chest of 5 drawers, 45x109 cm"
2020-12-18,1551509405,Asia,India,mobile,Safari,iPhone,Web,en-us,(referral),Social Search,,,,,,,
2020-11-01,6673062326,Americas,United States,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-07,503313666,Asia,India,desktop,Chrome,ChromeBook,Web,en-us,(direct),Direct,,,,,,,
2020-12-08,8457228762,Americas,United States,desktop,Safari,Safari,Web,en-us,(referral),Paid Search,,,,,,,
2020-12-14,9164498433,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(organic),Organic Search,,,,,,,
2020-11-27,1309489830,Americas,United States,mobile,<Other>,<Other>,Android,en-us,(referral),Paid Search,,,,,,,
2021-01-13,8212029202,Europe,Czechia,mobile,Safari,iPhone,iOS,en,(organic),Organic Search,,,,,,,
2020-11-13,6256986295,Americas,Canada,mobile,Chrome,<Other>,Web,,(organic),Organic Search,,,,,,,
2021-01-07,1030714688,Europe,United Kingdom,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,648336,1,0,,,,
2020-12-26,390480091,Americas,United States,desktop,Firefox,Firefox,Web,en-gb,(data deleted),Undefined,,,,,,,
2020-12-31,5850191396,Europe,United Kingdom,mobile,Safari,iPhone,Web,en-us,(organic),Paid Search,,,,,,,
2021-01-07,2776605522,Asia,India,mobile,Chrome,<Other>,Web,en-us,(direct),Direct,,,,,,,
2020-12-21,667691266,Americas,Canada,mobile,Chrome,<Other>,Android,,(direct),Direct,,,,Sofas & armchairs,VIMLE,2310.0,"Cover for corner sofa-bed, 5-seat"
2020-12-16,4645796932,Americas,Canada,desktop,Chrome,Chrome,Web,,(direct),Direct,,,,,,,
2020-11-27,6991517100,Asia,India,mobile,Chrome,<Other>,Android,en-us,(organic),Organic Search,,,,,,,
2021-01-09,4081152841,Americas,United States,mobile,Chrome,<Other>,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-05,996914482,Europe,Czechia,mobile,Chrome,iPhone,Web,,(referral),Social Search,,,,,,,
2020-11-08,5254502921,Asia,India,desktop,Chrome,Safari,Macintosh,en-us,(organic),Organic Search,,,,Sofas & armchairs,GRÖNLID,170.0,Cover for corner section
2021-01-30,2342250063,Americas,United States,desktop,Chrome,Safari,Web,,<Other>,Paid Search,,,,,,,
2021-01-18,6695807158,Asia,Taiwan,mobile,Safari,iPhone,iOS,,(referral),Paid Search,,,,,,,
2020-12-09,5932034990,Americas,United States,desktop,Chrome,ChromeBook,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-19,8032993179,Europe,Italy,desktop,Chrome,Chrome,Web,zh,(data deleted),Paid Search,,,,,,,
2021-01-06,4753673608,Americas,United States,mobile,Chrome,<Other>,Android,,(direct),Direct,,,,,,,
2020-12-11,6650122708,Americas,United States,mobile,Safari,iPhone,Web,es-es,(direct),Direct,,,,,,,
2020-12-01,4092842658,Americas,United States,desktop,Chrome,Safari,Macintosh,,(direct),Direct,,,,,,,
2020-11-24,5778319151,Americas,United States,desktop,Chrome,Chrome,Web,zh,(organic),Paid Search,681241,1,0,,,,
2021-01-25,606702754,Asia,South Korea,desktop,Safari,Safari,Macintosh,,<Other>,Paid Search,,,,,,,
2021-01-29,1757427956,Americas,Chile,desktop,Chrome,Chrome,Web,en-us,(referral),Social Search,,,,,,,
2021-01-09,7019742833,Americas,United States,desktop,Chrome,Safari,Macintosh,en-us,(organic),Organic Search,,,,,,,
2021-01-03,4261420777,Asia,India,mobile,Chrome,<Other>,Web,zh,(direct),Direct,,,,,,,
2021-01-21,5403708238,Africa,(not set),mobile,Safari,iPhone,iOS,en-us,(organic),Organic Search,,,,,,,
2020-12-14,7878524433,Americas,Canada,desktop,Chrome,Safari,Web,,(direct),Direct,,,,Children's furniture,MAMMUT,129.0,"Children's table, 77x55 cm"
2020-12-17,7343185481,Americas,United States,mobile,Safari,iPhone,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-01,7582387946,Americas,United States,desktop,Chrome,ChromeBook,Web,,(data deleted),Undefined,,,,,,,
2020-12-04,6465963707,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-01,1945618281,Europe,Germany,desktop,Chrome,Safari,Web,en-us,(referral),Paid Search,,,,,,,
2021-01-29,51993096,Europe,Slovakia,mobile,Chrome,iPhone,Web,en-us,(direct),Direct,,,,,,,
2020-11-21,607862497,Americas,Canada,desktop,Chrome,Chrome,Windows,en-us,(direct),Direct,,,,,,,
2020-11-16,6451269146,Asia,India,desktop,Chrome,Safari,Web,zh,<Other>,Paid Search,,,,,,,
2020-12-03,7595297520,Americas,United States,desktop,Safari,Safari,Macintosh,,(referral),Social Search,,,,,,,
2021-01-07,407722820,Americas,Colombia,mobile,Chrome,<Other>,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-06,5485488475,Americas,United States,mobile,Safari,iPhone,Web,ko,(organic),Organic Search,,,,,,,
2021-01-08,1876683793,Europe,Sweden,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,638323,1,0,,,,
2020-12-28,1638883849,Asia,Sri Lanka,desktop,Safari,Safari,Macintosh,,(organic),Organic Search,,,,,,,
2020-12-28,2802667247,Europe,France,desktop,Chrome,Chrome,Web,en-us,(referral),Paid Search,,,,,,,
2020-12-15,2192952052,Europe,Netherlands,mobile,Safari,iPhone,iOS,,(organic),Organic Search,,,,,,,
2020-12-03,1349157620,Americas,Canada,desktop,Chrome,Safari,Macintosh,,(organic),Organic Search,,,,,,,
2020-12-21,6014544192,Europe,Spain,mobile,Safari,iPhone,iOS,en-us,(referral),Paid Search,,,,Sofas & armchairs,VIMLE,775.0,Footstool with storage
2021-01-27,5825223557,Asia,India,tablet,Chrome,<Other>,Android,,(direct),Direct,,,,,,,
2020-12-17,2273832687,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,,,,
2020-12-07,1237312501,Asia,Singapore,desktop,Chrome,Safari,Web,,(direct),Direct,,,,,,,
2021-01-24,8641450565,Americas,United States,desktop,Chrome,Chrome,Web,en-gb,<Other>,Paid Search,,,,,,,
2020-11-26,9039120158,Europe,Ireland,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-15,8691086564,Americas,Canada,mobile,Safari,iPhone,Web,en-gb,(data deleted),Undefined,,,,,,,
2020-12-23,5485619531,Asia,India,desktop,Chrome,Safari,Macintosh,en-us,(organic),Organic Search,657608,1,0,,,,
2020-12-10,6579759324,Americas,Canada,mobile,Safari,iPhone,Web,,(direct),Direct,,,,,,,
2021-01-13,9582991962,Asia,Indonesia,desktop,Chrome,Safari,Web,zh,<Other>,Organic Search,,,,,,,
2021-01-08,8249098990,Americas,United States,mobile,Safari,iPhone,Web,en-us,<Other>,Paid Search,,,,Chairs,INGATORP / INGOLF,2725.0,"Table and 4 chairs, 110/155 cm"
2021-01-19,2554093179,Americas,United States,desktop,Chrome,Safari,Macintosh,,(organic),Organic Search,,,,,,,
2020-11-11,463277806,Europe,United Kingdom,desktop,Chrome,Chrome,Windows,,(direct),Direct,,,,,,,
2021-01-23,5086335482,Europe,United Kingdom,mobile,<Other>,<Other>,Web,en-us,(organic),Organic Search,,,,,,,
2021-01-26,1526177195,Asia,India,desktop,Chrome,Chrome,Web,,(direct),Direct,,,,,,,
2020-12-16,7429553556,Europe,Denmark,mobile,Safari,iPhone,iOS,,(organic),Organic Search,,,,,,,
2020-11-30,1631981288,Americas,United States,desktop,Chrome,Safari,Macintosh,en-us,(data deleted),Undefined,,,,,,,
2020-12-13,5601368112,Asia,South Korea,desktop,Safari,Safari,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-03,9211470884,Asia,India,desktop,Chrome,Safari,Macintosh,en-us,(referral),Social Search,,,,,,,
2021-01-26,4931643380,Americas,United States,desktop,Chrome,Safari,Web,en-us,(direct),Direct,,,,,,,
2020-12-16,6033838038,Americas,United States,desktop,Firefox,Safari,Macintosh,zh,(organic),Organic Search,,,,,,,
2021-01-07,140488120,Americas,United States,mobile,Chrome,<Other>,Web,en-ca,<Other>,Paid Search,,,,,,,
2021-01-13,6508109399,Europe,Spain,mobile,Chrome,<Other>,Web,en-gb,(data deleted),Undefined,,,,,,,
2020-12-14,8142530892,Europe,United Kingdom,desktop,Chrome,Chrome,Windows,en,(direct),Direct,,,,,,,
2020-12-29,7091748704,Asia,Malaysia,desktop,Chrome,Chrome,Windows,en-us,(organic),Organic Search,647248,1,0,,,,
2021-01-14,6268526551,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(referral),Paid Search,,,,,,,
2020-11-07,5703291417,Americas,United States,desktop,Chrome,Chrome,Web,,(data deleted),Undefined,,,,,,,
2020-11-03,6442120108,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(organic),Organic Search,,,,Cabinets & cupboards,HÄLLAN,700.0,"Storage combination with doors, 45x47x167 cm"
2021-01-07,4420707822,Americas,United States,mobile,Chrome,iPhone,iOS,en-us,(direct),Direct,,,,,,,
2021-01-19,3582515494,Americas,Canada,mobile,Safari,iPhone,iOS,en,(direct),Direct,,,,,,,
2021-01-30,9851771949,Americas,United States,desktop,Chrome,Safari,Macintosh,en-us,<Other>,Organic Search,,,,,,,
2021-01-12,480484302,Americas,United States,mobile,Chrome,<Other>,Web,,(direct),Direct,,,,,,,
2020-12-01,2526604537,Americas,United States,desktop,Chrome,Chrome,Web,en,(organic),Organic Search,681309,1,0,Beds,SONGESAND,570.0,"Bed frame with 2 storage boxes, 140x200 cm"
2020-11-18,1162023850,Americas,United States,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2021-01-15,9314242624,Americas,United States,mobile,Chrome,<Other>,Android,en-ca,(organic),Organic Search,,,,Beds,VIMLE,2945.0,2-seat sofa-bed section
2020-11-09,2861308967,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-18,5869942349,Americas,Jamaica,desktop,Chrome,Chrome,Windows,en-us,(referral),Paid Search,,,,,,,
2020-11-15,9926287667,Americas,Canada,mobile,Safari,iPhone,iOS,,(organic),Organic Search,,,,,,,
2020-11-25,3626990488,Americas,United States,desktop,Safari,Safari,Macintosh,en-us,<Other>,Paid Search,,,,,,,
2020-12-07,4800670008,Asia,India,desktop,Chrome,ChromeBook,<Other>,en-us,(organic),Organic Search,,,,,,,
2020-12-12,8667300576,Americas,Canada,mobile,Chrome,<Other>,Android,en-us,(referral),Paid Search,,,,,,,
2021-01-14,1198165575,Americas,United States,mobile,Chrome,iPhone,iOS,en-us,(referral),Social Search,,,,,,,
2020-12-29,5041882975,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(referral),Paid Search,,,,,,,
2021-01-21,3875855789,Asia,South Korea,mobile,Safari,iPhone,iOS,,<Other>,Paid Search,637082,1,1,Bookcases & shelving units,KALLAX,755.0,"Desk combination, 147x147x159 cm"
2020-11-17,2092225573,Americas,United States,desktop,<Other>,<Other>,Web,,(direct),Direct,,,,,,,
2021-01-16,4137294982,Americas,United States,desktop,Chrome,Chrome,Web,,(organic),Organic Search,679277,0,0,,,,
2020-12-08,806709150,Asia,India,desktop,Chrome,Chrome,Windows,en-us,<Other>,Paid Search,,,,,,,
2020-12-26,2936434419,Americas,Peru,desktop,Chrome,Safari,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-08,2322749626,Europe,Spain,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2021-01-04,1239250215,Europe,France,mobile,Safari,iPhone,iOS,fr,<Other>,Organic Search,,,,,,,
2021-01-06,4386552776,Europe,France,desktop,Chrome,Chrome,Windows,en-ca,(referral),Paid Search,,,,,,,
2020-12-02,3749234365,Asia,India,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,,,,
2020-12-25,1413874610,Americas,Canada,desktop,Chrome,ChromeBook,Web,es-es,(organic),Organic Search,,,,Cabinets & cupboards,BESTÅ,1570.0,"Storage combination w glass doors, 120x40x128 cm"
2020-11-12,2791951371,Asia,India,desktop,Chrome,Safari,Web,en-us,(referral),Paid Search,,,,,,,
2021-01-17,2239791096,Asia,India,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2021-01-11,9711180433,Americas,United States,mobile,Chrome,<Other>,Android,en-ca,(direct),Direct,,,,,,,
2020-12-27,5619348881,Americas,United States,desktop,Edge,Edge,Web,fr,<Other>,Paid Search,,,,,,,
2021-01-05,8498940327,Americas,United States,desktop,Chrome,Safari,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-16,6991502156,Americas,United States,desktop,Safari,Safari,Macintosh,en-gb,(referral),Social Search,,,,,,,
2021-01-22,5720694463,Americas,United States,mobile,Chrome,<Other>,Android,en-us,(organic),Organic Search,,,,,,,
2020-12-01,9671017651,Africa,Egypt,desktop,Chrome,Chrome,Windows,,(referral),Paid Search,,,,,,,
2021-01-29,8781041946,Americas,United States,desktop,Edge,Edge,Web,,(direct),Direct,,,,,,,
2020-12-13,5794920635,Americas,United States,desktop,Chrome,Chrome,Web,fr,(direct),Direct,,,,,,,
2020-12-03,9385232347,Asia,Singapore,desktop,Chrome,Safari,Web,en-us,<Other>,Paid Search,,,,,,,
2020-11-03,4953147486,Americas,Canada,desktop,Chrome,Chrome,Windows,,<Other>,Paid Search,,,,,,,
2020-12-03,6508802540,Europe,Germany,desktop,Firefox,Safari,Web,,(direct),Direct,,,,Outdoor furniture,FALHOLMEN,415.0,"Table, outdoor, 153x73 cm"
2021-01-29,929931576,Asia,India,desktop,Chrome,Safari,Web,,(data deleted),Undefined,,,,,,,
2020-12-21,1265297685,Europe,Spain,mobile,Chrome,<Other>,Android,,(referral),Paid Search,,,,,,,
2021-01-22,9657743952,Americas,United States,desktop,Chrome,Chrome,Windows,,(direct),Direct,,,,,,,
2020-11-12,7936281439,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,,,,
2020-12-24,9586187840,Asia,Taiwan,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-01,3324701571,Americas,United States,mobile,Chrome,iPhone,iOS,en-us,<Other>,Organic Search,,,,,,,
2021-01-17,422605663,Europe,United Kingdom,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-31,1934421990,Americas,United States,mobile,Chrome,<Other>,Web,en-us,(direct),Direct,,,,,,,
2020-11-25,5874775044,Europe,United Kingdom,desktop,Chrome,Chrome,Web,,(organic),Paid Search,,,,,,,
2020-12-15,8422317699,Asia,Singapore,desktop,Chrome,Safari,Web,en-gb,(organic),Organic Search,,,,,,,
2021-01-27,9408171730,Americas,United States,desktop,Chrome,ChromeBook,Web,zh,(organic),Organic Search,,,,,,,
2020-12-10,4354566778,Africa,Kenya,desktop,Chrome,<Other>,Windows,en-gb,(data deleted),Undefined,,,,,,,
2020-12-10,2617330145,Americas,Canada,mobile,Chrome,<Other>,Android,en-us,(data deleted),Undefined,,,,,,,
2020-11-16,8107494635,Americas,United States,desktop,Chrome,ChromeBook,<Other>,en-us,(direct),Direct,,,,,,,
2020-12-03,7872578171,Asia,India,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2020-11-27,1717359607,Americas,United States,desktop,Chrome,Safari,Macintosh,en,(direct),Direct,,,,,,,
2020-12-25,5211579244,Europe,France,desktop,Chrome,Chrome,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-01,8442167871,Asia,India,desktop,Chrome,Chrome,Web,,(data deleted),Undefined,,,,Chairs,FÖRSIKTIG,15.0,Children's stool
2021-01-28,4242339974,Americas,United States,mobile,Safari,iPhone,Web,en-us,(organic),Organic Search,,,,,,,
2020-11-24,5893348761,Americas,United States,desktop,Chrome,Chrome,<Other>,en-us,(data deleted),Undefined,664645,1,0,,,,
2020-11-23,6407052581,Americas,United States,mobile,Chrome,<Other>,Android,,(direct),Direct,,,,,,,
2020-12-18,5728349621,Asia,South Korea,desktop,Chrome,ChromeBook,<Other>,zh,<Other>,Paid Search,,,,,,,
2021-01-24,419149844,Europe,France,desktop,Chrome,Chrome,Windows,,(organic),Organic Search,,,,,,,
2021-01-18,9016438617,Americas,United States,mobile,Android Webview,<Other>,Web,,(referral),Paid Search,,,,,,,
2020-11-09,490382228,Asia,Indonesia,desktop,Chrome,ChromeBook,<Other>,,(referral),Paid Search,,,,,,,
2020-11-04,2629063750,Asia,China,desktop,Chrome,Chrome,Windows,es-es,(direct),Direct,,,,,,,
2020-12-15,2798955734,Europe,Ukraine,mobile,Safari,iPhone,Web,en-us,<Other>,Paid Search,,,,,,,
2020-12-17,2753106531,Asia,Taiwan,mobile,Chrome,iPhone,Web,en-us,(direct),Direct,,,,Bookcases & shelving units,FINNBY,149.0,"Bookcase, 60x180 cm"
2020-12-04,4676167125,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,,,,
2020-12-31,6311739724,Americas,United States,mobile,Chrome,<Other>,Web,,(organic),Organic Search,,,,,,,
2020-11-28,7751846022,Europe,Austria,desktop,Chrome,Chrome,Web,,(referral),Social Search,,,,,,,
2021-01-28,2703300084,Americas,Mexico,mobile,Safari,iPhone,iOS,,(referral),Social Search,,,,,,,
2020-12-28,1145273767,Asia,Cyprus,desktop,Chrome,Chrome,Windows,en-us,(direct),Direct,,,,,,,
2021-01-30,6100299158,Americas,Peru,desktop,Chrome,Chrome,Windows,,(direct),Direct,,,,,,,
2021-01-28,8595559610,Americas,United States,mobile,Safari,iPhone,iOS,en-us,(referral),Social Search,,,,,,,
2020-11-18,3322694730,Asia,India,desktop,Chrome,Chrome,Web,,(organic),Organic Search,,,,,,,
2021-01-23,5619434157,Africa,Nigeria,desktop,Chrome,Chrome,Web,,(direct),Direct,,,,Tables & desks,HOL,395.0,"Storage table, 98x50 cm"
